MỘT SỐ NỘI DUNG VI PHẠM VÀ KHUNG XỬ LÝ KỶ LUẬT SINH VIÊN
TT Nội dung vi phạm, Số lần vi phạm và hình thức xử lý (Số lần tính trong cả khoá học)-Khiển trách-Cảnh cáo-Đình chỉ học tập có thời hạn-Buộc thôi học, Ghi chú
1. | Đến muộn giờ học, giờ thực tập; nghỉ học không phép hoặc quá phép | Lần 2 | Lần 3 |  |  | Sau khi cảnh cáo, SV tiếp tục vi phạm sẽ đình chỉ học tập 1 học kỳ
11. | Sử dụng hồ sơ, văn bằng, chứng chỉ giả để trúng tuyển hoặc làm điều kiện trúng tuyển. |  |  |  | Lần 1 | Căn cứ quy định tại Thông tư số 08/2021/TT-BGDĐT và Quyết định số 719/QĐ- ĐHQT về việc ban hành Quy chế Đào tạo trình độ
 |  |  |  |  |  | Đại học theo hệ thống tín chỉ tại trường Đại học Quốc tế.
12. | Cố tình chậm hoặc không đóng học phí mà không có lý do chính đáng. |  |  |  |  | Tuỳ theo mức độ, xử lý từ khiển trách đến buộc thôi học.
13. | Không tham gia bảo hiểm y tế theo quy định của nhà nước mà không có lý do chính đáng. | Lần 2 | Lần 3 |  |  | Căn cứ Quyết định 953/QĐ- ĐHQG: Lần 1 – nhắc nhở bằng văn bản và trừ điểm rèn luyện.
14. | Làm hư hỏng tài sản, hệ thống mạng, dữ liệu Trường, ký túc xá |  |  |  |  | Tuỳ theo mức độ xử lý từ khiển trách đến buộc thôi học, phải bồi thường thiệt hại hoặc giao cho cơ quan chức năng xử lý theo quy định của pháp luật
15. | Uống rượu, bia, sử dụng chất kích thích trong giờ học; say rượu, bia khi đến lớp. | Lần 1 | Lần 2 | Lần 3 | Lần 4 | 
16. | Hút thuốc lá (kể cả thuốc lá điện tử) trong khuôn viên nhà trường. | Lần 2 | Lần 3 | Lần 4 |  | Lần 1 nhắc nhở
17. | Đánh bạc dưới mọi hình thức trong khuôn viên nhà trường | Lần 1 | Lần 2 | Lần 3 | Lần 4 | Tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo quy định của pháp luật
18. | Tàng trữ, lưu hành, truy cập, sử dụng sản phẩm văn hoá đồi trụy hoặc tham gia các hoạt động mê tín dị đoan, hoạt động tôn giáo trái phép |  | Lần 1 | Lần 2 | Lần 3 | Nếu nghiêm trọng giao cho cơ quan chức năng xử lý theo quy định của pháp luật
19. | Buôn bán, vận chuyển, tàng trữ, lôi kéo người khác sử dụng ma tuý, chất hướng thần, chất gây nghiện. |  |  |  | Lần 1 | Giao cho cơ quan chức năng xử lý theo quy định của pháp luật
20. | Sử dụng ma tuý, chất hướng thần, chất gây nghiện. |  |  |  |  | Xử lý theo quy định về xử lý SV sử dụng ma tuý
21. | Chứa chấp, môi giới hoạt |  |  |  | Lần 1 | Giao cho cơ quan chức năng
 | động mại dâm |  |  |  |  | xử lý theo quy định của pháp luật
22. | Hoạt động mại dâm |  | Lần 1 | Lần 2 | Lần 3 | Giao cho cơ quan chức năng xử lý theo quy định của pháp luật
23. | Lấy cắp tài sản, chứa chấp, tiêu thụ tài sản do lấy cắp mà có |  | Lần 1 | Lần 2 | Lần 3 | Tuỳ theo mức độ xử lý từ cảnh cáo đến buộc thôi học. Nếu nghiêm trọng, giao cho cơ quan chức năng xử lý theo quy định của pháp luật
24. | Chứa chấp buôn bán vũ khí, chất nổ, chất dễ cháy và các hàng cấm theo quy định của Nhà nước. |  |  |  | Lần 1 | Giao cho cơ quan chức năng xử lý theo quy định của pháp luật
25. | Đưa phần tử xấu vào trong Trường, Ký túc xá, gây ảnh hưởng xấu đến an ninh, trật tự trong Trường. |  | Lần 1 | Lần 2 | Lần 3 | Tuỳ theo mức độ xử lý từ cảnh cáo đến buộc thôi học
26. | Gây rối an ninh, trật tự an toàn	trong	Trường	hoặc ngoài xã hội. |  |  |  |  | Tùy theo mức độ, tính chất xử lý từ cảnh cáo đến buộc thôi học.
27. | Đe dọa, khủng bố tinh thần người khác. | Lần 1 | Lần 2 | Lần 3 |  | Tùy theo mức độ, tính chất xử lý từ khiển trách đến đình chỉ học tập có thời hạn.
28. | Đánh nhau, tổ chức hoặc tham gia tổ chức đánh nhau. |  | Lần 1 | Lần 2 | Lần 3 | Tùy theo mức độ, tính chất xử lý từ cảnh cáo đến buộc thôi học. Nếu nghiêm trọng giao cho cơ quan chức năng xử lý theo quy định của pháp luật.
29. | Kích động, lôi kéo người khác biểu tình, viết truyền đơn, áp phích trái pháp luật. |  |  | Lần 1 | Lần 2 | Nếu nghiêm trọng, giao cho cơ quan chức năng xử lý theo quy định của pháp luật
30. | Vay, cho vay, tổ chức cho vay tín dụng đen. |  | Lần 1 | Lần 2 | Lần 3 | Tùy theo mức độ, tính chất xử lý từ cảnh cáo đến buộc thôi học. Nếu nghiêm trọng giao cho cơ quan chức năng xử lý theo quy định của pháp luật.
31. | Tham gia, mời gọi, lôi kéo tham gia các hoạt động đa cấp bất chính. |  | Lần 1 | Lần 2 | Lần 3 | Tùy theo mức độ, tính chất xử lý từ cảnh cáo đến buộc thôi học. Nếu nghiêm trọng giao cho cơ quan chức năng xử lý theo quy định của pháp luật.
32. | Thành lập, tham gia các hoạt động mang tính chất chính trị trái pháp luật. |  | Lần 1 | Lần 2 | Lần 3 | Tùy theo mức độ, tính chất xử lý từ cảnh cáo đến buộc thôi học. Nghiêm trọng, giao cho cơ quan chức năng xử lý theo quy định của pháp luật.
33. | Tham gia biểu tình, tụ tập đông người, khiếu kiện trái quy định của pháp luật. | Lần 1 | Lần 2 | Lần 3 | Lần 4 | Tùy theo mức độ, tính chất xử lý từ cảnh cáo đến buộc thôi học. Nghiêm trọng, giao cho cơ quan chức năng xử lý theo quy định của pháp luật.
34. | Tổ chức, tham gia các hoạt động tập thể mang danh nghĩa Trường, ĐHQG- HCM khi chưa được Hiệu trưởng  Nhà  trường  và ĐHQG-HCM cho phép. |  |  |  |  | Tùy theo mức độ, tính chất xử lý từ cảnh cáo đến buộc thôi học. Nghiêm trọng, giao cho cơ quan chức năng xử lý theo quy định của pháp luật.
35. | Đăng tải, bình luận, chia sẻ bài viết, hình ảnh có nội dung dung tục, bạo lực, đồi trụy, xâm phạm an ninh quốc gia, chống phá Đảng và Nhà nước, đưa tin thất thiệt, xuyên tạc, vu khống, xúc phạm uy tín của tổ chức, danh dự và nhân phẩm của cá nhân trên mạng internet. Viết bài, tuyên truyền, phản ánh sai sự thật làm ảnh hưởng đến uy tín nhà trường. |  | Lần 1 | Lần 2 | Lần 3 | Tùy theo mức độ có thể giao cho cơ quan chức năng xử lý theo quy định của pháp luật.
36. | Có hành động quấy rối, dâm ô, xúc phạm nhân phẩm, đời |  |  | Lần 1 | Lần 2 | Nếu nghiêm trọng, giao cho cơ quan chức năng xử lý
 | tư của người khác. |  |  |  |  | theo quy định của pháp luật
37. | Cố tình quay phim, ghi âm khi không có sự đồng thuận của người khác. |  | Lần 1 | Lần 2 | Lần 3 | Tuỳ theo mức độ, xử lý từ khiển trách đến buộc thôi học
38. | Vi phạm các quy định về an toàn giao thông, quy định ngoại trú. | Lần 1 | Lần 2 | Lần 3 | Lần 4 | Tuỳ theo mức độ, xử lý từ khiển trách đến buộc thôi học
39. | Giả mạo chữ ký của người khác; Sử dụng giấy tờ không hợp pháp. |  | Lần 1 | Lần 2 | Lần 3 | Tuỳ theo mức độ, xử lý từ cảnh cáo đến buộc thôi học hoặc giao cho cơ quan chức năng xử lý theo quy định của pháp luật; Riêng hành vi liên quan đến việc sử dụng hồ sơ, văn bằng, chứng chỉ giả làm điều kiện trúng tuyển hoặc điều kiện tốt nghiệp bị áp dụng xử lý theo quy định tại mục 11 của Phụ lục này.
40. | Đưa người lạ vào trường, thư viện, phòng lab, lớp học không xin phép; Không tuân thủ đeo thẻ SV trong khuôn viên trường; Có thái độ ứng xử không chuẩn mực với các đơn vị chức năng liên quan. | Lần 1 | Lần 2 | Lần 3 |  | 
41. | Giả mạo thẻ CMND, thẻ SV, thẻ nội trú, thẻ xe buýt, thẻ thư viện, thẻ căn tin… của người khác. |  | Lần 1 | Lần 2 | Lần 3 | Nếu nghiêm trọng, giao cho cơ quan chức năng xử lý theo quy định của pháp luật
42. | Nhặt được của rơi không trả lại người bị mất, trả lại nhưng đòi tiền chuộc. |  | Tài sản ≤ 10 lần mức lương cơ sở | Tài sản > 10 lần mức lương cơ sở | Tài sản thuộc di tích lịch sử, văn hóa | Tuỳ theo mức độ, xử lý từ khiển trách đến buộc thôi học hoặc giao cho cơ quan chức năng xử lý theo quy định của pháp luật
43. | Mặc trang phục hở hang, lộ liễu, vi phạm thuần phong mỹ tục của dân tộc. | Lần 2 | Lần 3 | Lần 4 |  | Lần 1 nhắc nhở.
44. | Có những hành động cử chỉ tình cảm vượt quá giới hạn trong khuôn viên nhà trường. | Lần 2 | Lần 3 | Lần 4 |  | Lần 1 nhắc nhở.
45. | Các vi phạm khác: Vi phạm quy tắc ứng xử dành cho người học, vi phạm khác ngoài trường, trên mạng xã hội… |  |  |  |  | Tùy theo mức độ, nhà trường xem xét, nhắc nhở, phê bình, trừ ĐRL hoặc xử lý kỷ luật từ khiển trách đến buộc thôi học.
